method,class,avg_binary_f1
w2v_self,0,0.6802421052631579
w2v_self,1,0.6414799999999999
w2v_self,2,0.6134999999999999
w2v_self,3,0.5875210526315788
w2v_self,4,0.7085055555555555
w2v_pretrained,0,0.6727722222222222
w2v_pretrained,1,0.6621388888888889
w2v_pretrained,2,0.6008499999999999
w2v_pretrained,3,0.5585052631578948
w2v_pretrained,4,0.6447117647058824
fasttext_pretrained,0,0.645178947368421
fasttext_pretrained,1,0.64700625
fasttext_pretrained,2,0.5715937500000001
fasttext_pretrained,3,0.5543588235294118
fasttext_pretrained,4,0.5621277777777779
glove_pretrained,0,0.66045
glove_pretrained,1,0.649578947368421
glove_pretrained,2,0.585205
glove_pretrained,3,0.5899
glove_pretrained,4,0.646835
sbert,0,0.6773125
sbert,1,0.6696666666666666
sbert,2,0.6033684210526316
sbert,3,0.5592777777777778
sbert,4,0.649778947368421
sroberta,0,0.63387
sroberta,1,0.625585
sroberta,2,0.5702349999999999
sroberta,3,0.553795
sroberta,4,0.656245
mpnet,0,0.6284099999999999
mpnet,1,0.6734222222222221
mpnet,2,0.6238235294117647
mpnet,3,0.5536388888888888
mpnet,4,0.6561736842105264
e5,0,0.6690235294117647
e5,1,0.6866166666666667
e5,2,0.5933111111111111
e5,3,0.5851222222222222
e5,4,0.6877736842105262
instructor,0,0.67731875
instructor,1,0.7023117647058823
instructor,2,0.6143187499999999
instructor,3,0.56359375
instructor,4,0.6460470588235294
logistic_regression,0,0.850025
logistic_regression,1,0.832825
logistic_regression,2,0.7896249999999999
logistic_regression,3,0.7532000000000001
logistic_regression,4,0.844725
