embedding,k,difference
e5,2,0.04662999999999995
e5,3,0.05714000000000008
e5,4,0.053039999999999865
e5,5,0.0025999999999999357
fasttext_pretrained,2,0.035619999999999985
fasttext_pretrained,3,0.015450000000000075
fasttext_pretrained,4,0.08234000000000002
fasttext_pretrained,5,0.1521
glove_pretrained,2,0.026919999999999944
glove_pretrained,3,0.044850000000000056
glove_pretrained,4,0.028020000000000045
glove_pretrained,5,0.04250000000000004
instructor,2,0.049470000000000125
instructor,3,0.06956999999999991
instructor,4,0.08677999999999997
instructor,5,0.09819999999999995
mpnet,2,0.054730000000000056
mpnet,3,0.06037999999999999
mpnet,4,0.051059999999999994
mpnet,5,0.08839999999999998
sbert,2,0.013480000000000047
sbert,3,0.06867000000000001
sbert,4,0.04422000000000004
sbert,5,0.07800000000000001
sroberta,2,0.06257000000000001
sroberta,3,0.06706000000000001
sroberta,4,0.0771599999999999
sroberta,5,0.060299999999999965
w2v_pretrained,2,0.06482999999999994
w2v_pretrained,3,0.029909999999999992
w2v_pretrained,4,0.038280000000000036
w2v_pretrained,5,0.15760000000000002
w2v_self,2,0.0022499999999999742
w2v_self,3,0.01097999999999999
w2v_self,4,0.05295999999999995
w2v_self,5,-0.0262
