method,slope,r2
e5,-0.08133150000000001,0.8977348183064663
fasttext_pretrained,-0.09575750000000002,0.7923029743154627
glove_pretrained,-0.09883250000000002,0.9309727609909828
instructor,-0.085799,0.8286513105597446
logistic_regression,-0.061942999999999984,0.9593927128673095
mpnet,-0.08120850000000003,0.8740778470684117
sbert,-0.08836350000000001,0.8730028082551977
sroberta,-0.07650950000000005,0.8325433252390182
w2v_pretrained,-0.11639100000000002,0.888062130941015
w2v_self,-0.07567950000000002,0.8971299391739531
