k,unsupervised_method,gap
2,e5,0.07267000000000001
2,e5,0.026040000000000063
2,fasttext_pretrained,0.16544999999999999
2,fasttext_pretrained,0.12983
2,glove_pretrained,0.09677000000000002
2,glove_pretrained,0.06985000000000008
2,instructor,0.08922000000000008
2,instructor,0.03974999999999995
2,mpnet,0.09938000000000002
2,mpnet,0.04464999999999997
2,sbert,0.06468000000000007
2,sbert,0.05120000000000002
2,sroberta,0.10653999999999997
2,sroberta,0.043969999999999954
2,w2v_pretrained,0.10963
2,w2v_pretrained,0.04480000000000006
2,w2v_self,0.09106999999999998
2,w2v_self,0.08882000000000001
3,e5,0.11082000000000003
3,e5,0.05367999999999995
3,fasttext_pretrained,0.22272000000000003
3,fasttext_pretrained,0.20726999999999995
3,glove_pretrained,0.17218
3,glove_pretrained,0.12732999999999994
3,instructor,0.13769999999999993
3,instructor,0.06813000000000002
3,mpnet,0.11819999999999997
3,mpnet,0.05781999999999998
3,sbert,0.1513199999999999
3,sbert,0.08264999999999989
3,sroberta,0.13088999999999995
3,sroberta,0.06382999999999994
3,w2v_pretrained,0.15252999999999994
3,w2v_pretrained,0.12261999999999995
3,w2v_self,0.12432999999999994
3,w2v_self,0.11334999999999995
4,e5,0.1270199999999999
4,e5,0.07398000000000005
4,fasttext_pretrained,0.29368
4,fasttext_pretrained,0.21133999999999997
4,glove_pretrained,0.18184
4,glove_pretrained,0.15381999999999996
4,instructor,0.16281999999999996
4,instructor,0.07604
4,mpnet,0.12714000000000003
4,mpnet,0.07608000000000004
4,sbert,0.14332
4,sbert,0.09909999999999997
4,sroberta,0.1523199999999999
4,sroberta,0.07516
4,w2v_pretrained,0.18704000000000004
4,w2v_pretrained,0.14876
4,w2v_self,0.16641999999999996
4,w2v_self,0.11346
5,e5,0.10919999999999996
5,e5,0.10660000000000003
5,fasttext_pretrained,0.3239
5,fasttext_pretrained,0.1718
5,glove_pretrained,0.22150000000000003
5,glove_pretrained,0.179
5,instructor,0.1876
5,instructor,0.08940000000000003
5,mpnet,0.1759
5,mpnet,0.08750000000000002
5,sbert,0.18360000000000004
5,sbert,0.10560000000000003
5,sroberta,0.14850000000000002
5,sroberta,0.08820000000000006
5,w2v_pretrained,0.3274
5,w2v_pretrained,0.1698
5,w2v_self,0.11560000000000004
5,w2v_self,0.14180000000000004
