k,method,rank,mean_f1
2,logistic_regression,1,0.81408
2,e5,2,0.78804
2,instructor,3,0.7743300000000001
2,sroberta,4,0.7701100000000001
2,mpnet,5,0.7694300000000001
2,w2v_pretrained,6,0.76928
2,sbert,7,0.76288
2,sbert,8,0.7494
2,glove_pretrained,9,0.74423
2,e5,10,0.74141
2,w2v_self,11,0.72526
2,instructor,12,0.72486
2,w2v_self,13,0.72301
2,glove_pretrained,14,0.71731
2,mpnet,15,0.7147
2,sroberta,16,0.7075400000000001
2,w2v_pretrained,17,0.70445
2,fasttext_pretrained,18,0.68425
2,fasttext_pretrained,19,0.64863
3,logistic_regression,1,0.72295
3,e5,2,0.66927
3,mpnet,3,0.66513
3,sroberta,4,0.65912
3,instructor,5,0.65482
3,sbert,6,0.6403000000000001
3,e5,7,0.61213
3,w2v_self,8,0.6096
3,mpnet,9,0.60475
3,w2v_pretrained,10,0.60033
3,w2v_self,11,0.59862
3,glove_pretrained,12,0.59562
3,sroberta,13,0.59206
3,instructor,14,0.58525
3,sbert,15,0.5716300000000001
3,w2v_pretrained,16,0.57042
3,glove_pretrained,17,0.55077
3,fasttext_pretrained,18,0.51568
3,fasttext_pretrained,19,0.50023
4,logistic_regression,1,0.66206
4,e5,2,0.5880799999999999
4,sroberta,3,0.5869
4,instructor,4,0.58602
4,mpnet,5,0.58598
4,sbert,6,0.56296
4,w2v_self,7,0.5486
4,e5,8,0.5350400000000001
4,mpnet,9,0.53492
4,sbert,10,0.51874
4,w2v_pretrained,11,0.5133
4,sroberta,12,0.5097400000000001
4,glove_pretrained,13,0.50824
4,instructor,14,0.49924
4,w2v_self,15,0.49564
4,glove_pretrained,16,0.48022
4,w2v_pretrained,17,0.47501999999999994
4,fasttext_pretrained,18,0.45072
4,fasttext_pretrained,19,0.36838
5,logistic_regression,1,0.6279
5,mpnet,2,0.5404
5,sroberta,3,0.5397
5,instructor,4,0.5385
5,sbert,5,0.5223
5,e5,6,0.5213
5,e5,7,0.5187
5,w2v_self,8,0.5123
5,w2v_self,9,0.4861
5,sroberta,10,0.4794
5,w2v_pretrained,11,0.4581
5,fasttext_pretrained,12,0.4561
5,mpnet,13,0.452
5,glove_pretrained,14,0.4489
5,sbert,15,0.4443
5,instructor,16,0.4403
5,glove_pretrained,17,0.4064
5,fasttext_pretrained,18,0.304
5,w2v_pretrained,19,0.3005
