method,class,avg_binary_f1
sroberta,0,0.7308272727272727
sroberta,1,0.48565909090909093
sroberta,2,0.6784409090909091
sroberta,3,0.7430954545454547
sroberta,4,0.7297136363636363
sroberta,5,0.6534409090909091
sroberta,6,0.6328727272727273
sroberta,7,0.7248590909090911
sroberta,8,0.6805181818181819
sroberta,9,0.6855909090909091
sroberta,10,0.7281136363636364
sroberta,11,0.5548045454545455
sbert,0,0.7376909090909091
sbert,1,0.44641363636363635
sbert,2,0.5879636363636362
sbert,3,0.6933954545454545
sbert,4,0.7050909090909091
sbert,5,0.6525318181818182
sbert,6,0.5922545454545455
sbert,7,0.6738954545454544
sbert,8,0.6764681818181818
sbert,9,0.618859090909091
sbert,10,0.6965818181818183
sbert,11,0.6030454545454546
w2v_self,0,0.4816863636363636
w2v_self,1,0.2052409090909091
w2v_self,2,0.43537727272727267
w2v_self,3,0.45786363636363636
w2v_self,4,0.4389136363636363
w2v_self,5,0.42252272727272727
w2v_self,6,0.4253636363636364
w2v_self,7,0.37922727272727275
w2v_self,8,0.4420727272727271
w2v_self,9,0.4613
w2v_self,10,0.4161681818181819
w2v_self,11,0.3095727272727272
w2v_pretrained,0,0.6069363636363636
w2v_pretrained,1,0.48182272727272724
w2v_pretrained,2,0.5307090909090909
w2v_pretrained,3,0.7176181818181817
w2v_pretrained,4,0.5888318181818182
w2v_pretrained,5,0.5484454545454545
w2v_pretrained,6,0.53225
w2v_pretrained,7,0.6658499999999999
w2v_pretrained,8,0.6810272727272729
w2v_pretrained,9,0.5332545454545454
w2v_pretrained,10,0.5206681818181819
w2v_pretrained,11,0.5422863636363636
fasttext_pretrained,0,0.6099363636363636
fasttext_pretrained,1,0.4345181818181818
fasttext_pretrained,2,0.47532272727272723
fasttext_pretrained,3,0.6181454545454547
fasttext_pretrained,4,0.5729000000000001
fasttext_pretrained,5,0.5359681818181816
fasttext_pretrained,6,0.6160363636363636
fasttext_pretrained,7,0.6989545454545454
fasttext_pretrained,8,0.6152545454545454
fasttext_pretrained,9,0.5235409090909091
fasttext_pretrained,10,0.5853863636363636
fasttext_pretrained,11,0.5617454545454545
glove_pretrained,0,0.6092363636363636
glove_pretrained,1,0.4470954545454546
glove_pretrained,2,0.5353227272727273
glove_pretrained,3,0.7223272727272728
glove_pretrained,4,0.6038227272727272
glove_pretrained,5,0.6050863636363636
glove_pretrained,6,0.5943590909090909
glove_pretrained,7,0.6595954545454545
glove_pretrained,8,0.7311181818181819
glove_pretrained,9,0.5739727272727274
glove_pretrained,10,0.6138909090909092
glove_pretrained,11,0.5849545454545455
mpnet,0,0.7733
mpnet,1,0.47309090909090906
mpnet,2,0.6866954545454546
mpnet,3,0.6936636363636364
mpnet,4,0.7104045454545453
mpnet,5,0.6418454545454545
mpnet,6,0.6546045454545456
mpnet,7,0.7161181818181818
mpnet,8,0.6605590909090909
mpnet,9,0.68275
mpnet,10,0.6904636363636363
mpnet,11,0.6424318181818182
e5,0,0.6920818181818181
e5,1,0.42338181818181825
e5,2,0.6410681818181817
e5,3,0.7469409090909092
e5,4,0.6893454545454546
e5,5,0.6101636363636364
e5,6,0.5739772727272727
e5,7,0.5432863636363637
e5,8,0.6117863636363636
e5,9,0.6444045454545455
e5,10,0.6750772727272727
e5,11,0.5310409090909092
instructor,0,0.7445227272727273
instructor,1,0.4515272727272727
instructor,2,0.70565
instructor,3,0.71615
instructor,4,0.8190863636363637
instructor,5,0.6820636363636365
instructor,6,0.6140318181818182
instructor,7,0.677
instructor,8,0.6999681818181817
instructor,9,0.6721136363636363
instructor,10,0.6316454545454545
instructor,11,0.6177681818181818
logistic_regression,0,0.8944090909090909
logistic_regression,1,0.8531
logistic_regression,2,0.7406909090909092
logistic_regression,3,0.8564818181818182
logistic_regression,4,0.8288181818181819
logistic_regression,5,0.8263181818181817
logistic_regression,6,0.8175363636363637
logistic_regression,7,0.8670181818181818
logistic_regression,8,0.7883454545454547
logistic_regression,9,0.8623909090909091
logistic_regression,10,0.866809090909091
logistic_regression,11,0.8412636363636363
