embedding,k,difference
e5,2,0.0014106060606060566
e5,3,0.00306500000000004
e5,4,0.0159759595959596
e5,5,0.023652272727272716
e5,6,0.016942640692640676
e5,7,0.014931818181818213
e5,8,0.012413939393939422
e5,9,0.006732272727272698
e5,10,0.00854545454545455
e5,11,-0.004358333333333353
e5,12,0.006400000000000017
fasttext_pretrained,2,-0.0006969696969696404
fasttext_pretrained,3,0.01851727272727277
fasttext_pretrained,4,0.0022323232323232522
fasttext_pretrained,5,0.004289393939393926
fasttext_pretrained,6,0.0002183982683982566
fasttext_pretrained,7,0.0017195707070707111
fasttext_pretrained,8,0.004368282828282832
fasttext_pretrained,9,0.007095909090909069
fasttext_pretrained,10,0.011936363636363662
fasttext_pretrained,11,0.012124999999999997
fasttext_pretrained,12,0.018500000000000003
glove_pretrained,2,-0.015178787878787792
glove_pretrained,3,0.00024045454545451594
glove_pretrained,4,-0.020159393939393977
glove_pretrained,5,-0.010767803030303058
glove_pretrained,6,-0.006094372294372319
glove_pretrained,7,-0.0031715909090909156
glove_pretrained,8,-0.0020686868686868587
glove_pretrained,9,-0.0008463636363636173
glove_pretrained,10,0.007440909090909109
glove_pretrained,11,0.01078333333333334
glove_pretrained,12,-0.012899999999999995
instructor,2,0.03256363636363635
instructor,3,0.025203636363636372
instructor,4,0.01911858585858589
instructor,5,0.010146464646464626
instructor,6,0.009319480519480505
instructor,7,0.012645580808080842
instructor,8,0.011130707070707041
instructor,9,0.011325000000000002
instructor,10,0.008853030303030307
instructor,11,-0.0015833333333333532
instructor,12,0.021600000000000008
mpnet,2,0.03489696969696976
mpnet,3,0.01725363636363636
mpnet,4,0.019459393939393943
mpnet,5,0.02466679292929297
mpnet,6,0.028686147186147204
mpnet,7,0.02465719696969698
mpnet,8,0.016989696969696988
mpnet,9,0.007828181818181817
mpnet,10,0.012281818181818172
mpnet,11,0.01510000000000003
mpnet,12,-0.01930000000000001
sbert,2,-0.007309090909091043
sbert,3,-0.017436818181818192
sbert,4,0.0010549494949494975
sbert,5,0.00339583333333332
sbert,6,0.0033822510822510976
sbert,7,0.006128661616161629
sbert,8,0.007739595959595974
sbert,9,0.007025454545454529
sbert,10,0.01359545454545455
sbert,11,0.019925000000000026
sbert,12,-0.003700000000000009
sroberta,2,0.01994696969696963
sroberta,3,0.008699545454545432
sroberta,4,0.021534747474747484
sroberta,5,0.01781881313131317
sroberta,6,0.012432142857142836
sroberta,7,0.0016727272727272702
sroberta,8,-0.004309090909090929
sroberta,9,-0.010484545454545413
sroberta,10,-0.009957575757575748
sroberta,11,-0.004358333333333297
sroberta,12,0.0267
w2v_pretrained,2,0.008640909090909199
w2v_pretrained,3,0.012194090909090904
w2v_pretrained,4,0.0016062626262625668
w2v_pretrained,5,-0.002271085858585875
w2v_pretrained,6,-0.0012576839826839437
w2v_pretrained,7,0.0028465909090909236
w2v_pretrained,8,0.006066868686868676
w2v_pretrained,9,0.009911363636363607
w2v_pretrained,10,0.012645454545454543
w2v_pretrained,11,0.013708333333333322
w2v_pretrained,12,0.03340000000000001
w2v_self,2,-0.0007393939393939286
w2v_self,3,0.017409545454545483
w2v_self,4,0.01986080808080809
w2v_self,5,0.006507070707070711
w2v_self,6,0.007178896103896132
w2v_self,7,0.004132828282828266
w2v_self,8,-0.0004274747474747598
w2v_self,9,-0.0011922727272727224
w2v_self,10,0.005454545454545462
w2v_self,11,0.008849999999999997
w2v_self,12,0.009899999999999992
