method,slope,r2
e5,-0.03645211391491868,0.6284331374208927
fasttext_pretrained,-0.03433511057834575,0.5459492802387274
glove_pretrained,-0.03617622321662902,0.6015175374269855
instructor,-0.03680337250654756,0.49700833312939807
logistic_regression,-0.03645067256415081,0.9377358970820703
mpnet,-0.04018956511127262,0.5509140843088018
sbert,-0.03648331580376683,0.5532047511509687
sroberta,-0.03576038699444349,0.5176547061249974
w2v_pretrained,-0.036094492297968815,0.6274321510612049
w2v_self,-0.031019884591784046,0.6935672802938577
