k,unsupervised_method,gap
2,e5,0.2224242424242424
2,e5,0.22101363636363636
2,fasttext_pretrained,0.26447424242424233
2,fasttext_pretrained,0.26810454545454543
2,glove_pretrained,0.21854090909090906
2,glove_pretrained,0.24185909090909086
2,instructor,0.183919696969697
2,instructor,0.15135606060606066
2,mpnet,0.18555303030303028
2,mpnet,0.15065606060606052
2,sbert,0.205460606060606
2,sbert,0.1877045454545455
2,sroberta,0.17791060606060594
2,sroberta,0.1579636363636363
2,w2v_pretrained,0.26181212121212116
2,w2v_pretrained,0.25376818181818184
2,w2v_self,0.43430454545454544
2,w2v_self,0.42700757575757575
3,e5,0.33825227272727276
3,e5,0.3351872727272727
3,fasttext_pretrained,0.3817154545454545
3,fasttext_pretrained,0.3669286363636363
3,glove_pretrained,0.35280545454545453
3,glove_pretrained,0.34823454545454546
3,instructor,0.3264390909090909
3,instructor,0.30123545454545453
3,mpnet,0.310055
3,mpnet,0.29280136363636367
3,sbert,0.32895636363636366
3,sbert,0.33397409090909086
3,sroberta,0.32100545454545454
3,sroberta,0.3123059090909091
3,w2v_pretrained,0.36475090909090907
3,w2v_pretrained,0.3521740909090909
3,w2v_self,0.527505
3,w2v_self,0.5027354545454545
4,e5,0.3963272727272727
4,e5,0.3803513131313131
4,fasttext_pretrained,0.42433212121212116
4,fasttext_pretrained,0.40974101010101005
4,glove_pretrained,0.39643575757575755
4,glove_pretrained,0.40213272727272725
4,instructor,0.37070767676767674
4,instructor,0.35158909090909085
4,mpnet,0.35507090909090905
4,mpnet,0.3356115151515151
4,sbert,0.38614343434343434
4,sbert,0.382740202020202
4,sroberta,0.3715834343434343
4,sroberta,0.3500333333333333
4,w2v_pretrained,0.4098991919191919
4,w2v_pretrained,0.41472606060606054
4,w2v_self,0.549820404040404
4,w2v_self,0.5329559595959595
5,e5,0.4185421717171718
5,e5,0.39489116161616167
5,fasttext_pretrained,0.44438724747474756
5,fasttext_pretrained,0.4305190656565657
5,glove_pretrained,0.41813724747474756
5,glove_pretrained,0.4239125000000001
5,instructor,0.3932776515151516
5,instructor,0.38313118686868697
5,mpnet,0.3838387626262627
5,mpnet,0.35917196969696974
5,sbert,0.4054958333333334
5,sbert,0.39179090909090913
5,sroberta,0.39533118686868696
5,sroberta,0.37751502525252534
5,w2v_pretrained,0.43101856060606064
5,w2v_pretrained,0.4326162878787879
5,w2v_self,0.5511097222222223
5,w2v_self,0.5477939393939395
6,e5,0.42075270562770567
6,e5,0.403810064935065
6,fasttext_pretrained,0.4446898268398269
6,fasttext_pretrained,0.4379559523809524
6,glove_pretrained,0.43198279220779223
6,glove_pretrained,0.42931212121212126
6,instructor,0.4051217532467533
6,instructor,0.3958040043290044
6,mpnet,0.394775432900433
6,mpnet,0.3661365800865801
6,sbert,0.416819696969697
6,sbert,0.404260064935065
6,sroberta,0.3969611471861472
6,sroberta,0.3845290043290044
6,w2v_pretrained,0.4414765151515152
6,w2v_pretrained,0.44238874458874466
6,w2v_self,0.545219696969697
6,w2v_self,0.5458440476190477
7,e5,0.4311118686868687
7,e5,0.4161686868686869
7,fasttext_pretrained,0.44789494949494946
7,fasttext_pretrained,0.4454905303030303
7,glove_pretrained,0.44178497474747475
7,glove_pretrained,0.43732272727272725
7,instructor,0.41939898989898994
7,instructor,0.40675340909090907
7,mpnet,0.4047777777777778
7,mpnet,0.3801032828282828
7,sbert,0.4245882575757576
7,sbert,0.41346022727272724
7,sroberta,0.3998342171717172
7,sroberta,0.3981614898989899
7,w2v_pretrained,0.45133585858585856
7,w2v_pretrained,0.4502957070707071
7,w2v_self,0.5425204545454546
7,w2v_self,0.5466561868686869
8,e5,0.439749898989899
8,e5,0.4273359595959596
8,fasttext_pretrained,0.44877575757575755
8,fasttext_pretrained,0.4421991919191919
8,glove_pretrained,0.44667656565656566
8,glove_pretrained,0.44375838383838384
8,instructor,0.4253260606060606
8,instructor,0.41420565656565655
8,mpnet,0.4071359595959596
8,mpnet,0.3901462626262626
8,sbert,0.4286709090909091
8,sbert,0.41820040404040404
8,sroberta,0.4016896969696969
8,sroberta,0.40599878787878785
8,w2v_pretrained,0.45455636363636365
8,w2v_pretrained,0.4535840404040404
8,w2v_self,0.5360543434343434
8,w2v_self,0.5357628282828283
9,e5,0.4449931818181818
9,e5,0.4381990909090909
9,fasttext_pretrained,0.4515263636363636
9,fasttext_pretrained,0.4453890909090909
9,glove_pretrained,0.4481418181818182
