k,method,rank,mean_f1
2,logistic_regression,1,0.8369318181818182
2,mpnet,2,0.7109151515151515
2,e5,3,0.7023742424242424
2,instructor,4,0.6881818181818182
2,mpnet,5,0.6862757575757577
2,sroberta,6,0.6855863636363636
2,instructor,7,0.6855757575757575
2,sroberta,8,0.6789681818181819
2,sroberta,9,0.6590212121212122
2,fasttext_pretrained,10,0.6553015151515151
2,sbert,11,0.6541787878787879
2,instructor,12,0.6530121212121212
2,mpnet,13,0.6513787878787879
2,sbert,14,0.6468696969696969
2,sbert,15,0.6387045454545455
2,glove_pretrained,16,0.6241984848484848
2,w2v_pretrained,17,0.6209818181818182
2,w2v_pretrained,18,0.61885
2,glove_pretrained,19,0.6163363636363636
2,e5,20,0.6159181818181818
2,e5,21,0.6145075757575758
2,w2v_pretrained,22,0.612340909090909
2,glove_pretrained,23,0.6011575757575758
2,fasttext_pretrained,24,0.588619696969697
2,fasttext_pretrained,25,0.5879227272727273
2,mpnet,26,0.5688136363636364
2,instructor,27,0.5348888888888889
2,mpnet,28,0.5183056603773585
2,e5,29,0.5178363636363637
2,sbert,30,0.5060471698113207
2,instructor,31,0.5041909090909091
2,w2v_pretrained,32,0.5023555555555556
2,sroberta,33,0.5008
2,sroberta,34,0.4936924528301887
2,sbert,35,0.48830681818181815
2,w2v_self,36,0.48655454545454546
2,w2v_pretrained,37,0.46592727272727275
2,glove_pretrained,38,0.46132999999999996
2,w2v_self,39,0.45371249999999996
2,fasttext_pretrained,40,0.4502533333333333
2,fasttext_pretrained,41,0.4481119047619048
2,glove_pretrained,42,0.4284325
2,w2v_self,43,0.3855318181818182
2,w2v_self,44,0.38479242424242427
2,e5,45,0.36677241379310344
3,logistic_regression,1,0.7773977272727273
3,mpnet,2,0.5059990909090909
3,e5,3,0.5036518181818181
3,mpnet,4,0.4845963636363636
3,instructor,5,0.4841536363636364
3,instructor,6,0.47616227272727274
3,sroberta,7,0.4752813636363636
3,fasttext_pretrained,8,0.46968590909090907
3,mpnet,9,0.46734272727272724
3,sroberta,10,0.46509181818181816
3,sbert,11,0.4638136363636364
3,sroberta,12,0.45639227272727273
3,w2v_pretrained,13,0.45220181818181815
3,instructor,14,0.45095863636363637
3,w2v_pretrained,15,0.4472177272727273
3,glove_pretrained,16,0.4471
3,sbert,17,0.4463768181818182
3,sbert,18,0.4427177272727273
3,e5,19,0.44221045454545455
3,e5,20,0.4391454545454545
3,glove_pretrained,21,0.43853454545454545
3,glove_pretrained,22,0.43829409090909094
3,w2v_pretrained,23,0.4350236363636364
3,fasttext_pretrained,24,0.4297345454545455
3,fasttext_pretrained,25,0.4112172727272727
3,mpnet,26,0.3626151260504202
3,mpnet,27,0.3456971428571428
3,w2v_self,28,0.3308431818181818
3,sroberta,29,0.32713521126760564
3,sroberta,30,0.31286216216216217
3,sbert,31,0.3040063492063492
3,w2v_pretrained,32,0.299752
3,e5,33,0.2956612244897959
3,fasttext_pretrained,34,0.28926944444444447
3,w2v_self,35,0.2862568181818182
3,w2v_pretrained,36,0.28262758620689654
3,glove_pretrained,37,0.2802696202531646
3,instructor,38,0.272578
3,sbert,39,0.2710311475409836
3,w2v_self,40,0.2688472727272727
3,fasttext_pretrained,41,0.2676777777777778
3,e5,42,0.2665823529411765
3,glove_pretrained,43,0.2617478260869565
3,w2v_self,44,0.21975445544554456
3,instructor,45,0.10774090909090908
4,logistic_regression,1,0.7347036363636363
4,mpnet,2,0.39909212121212123
4,mpnet,3,0.3989721212121212
4,sroberta,4,0.3846549494949495
4,instructor,5,0.3831145454545455
4,e5,6,0.3818016161616162
4,mpnet,7,0.3796327272727273
4,fasttext_pretrained,8,0.3651822222222222
4,instructor,9,0.3639959595959596
4,sroberta,10,0.36399494949494954
4,sroberta,11,0.363120202020202
4,sbert,12,0.3615250505050505
4,w2v_pretrained,13,0.36120626262626265
4,instructor,14,0.3606884848484848
4,sbert,15,0.360470101010101
4,glove_pretrained,16,0.35442949494949494
4,e5,17,0.35435232323232324
4,glove_pretrained,18,0.3533052525252525
4,w2v_pretrained,19,0.35115494949494946
4,w2v_pretrained,20,0.3495486868686869
4,sbert,21,0.3383882828282828
4,e5,22,0.33837636363636364
4,fasttext_pretrained,23,0.33773050505050506
4,fasttext_pretrained,24,0.3354981818181818
4,glove_pretrained,25,0.33314585858585855
4,w2v_self,26,0.260809898989899
4,mpnet,27,0.2445183908045977
4,sbert,28,0.23088333333333333
4,e5,29,0.22963764705882356
4,sroberta,30,0.22849874213836477
4,mpnet,31,0.22574687499999999
4,w2v_self,32,0.22543070707070706
4,w2v_pretrained,33,0.2077236559139785
4,w2v_self,34,0.20556989898989897
4,e5,35,0.20082429906542054
4,instructor,36,0.20075123456790125
4,glove_pretrained,37,0.1989609022556391
4,sroberta,38,0.19785961538461538
4,fasttext_pretrained,39,0.19337384615384615
4,w2v_pretrained,40,0.1866150442477876
4,glove_pretrained,41,0.18434761904761907
4,fasttext_pretrained,42,0.18393684210526318
4,sbert,43,0.16756716417910447
4,w2v_self,44,0.13550992907801418
4,instructor,45,0.09713492063492064
5,logistic_regression,1,0.7016987373737374
5,mpnet,2,0.3425267676767677
5,sroberta,3,0.32418636363636366
5,mpnet,4,0.3234010101010101
5,instructor,5,0.3185675505050505
5,mpnet,6,0.31785997474747474
5,e5,7,0.3101502525252525
5,sbert,8,0.3091368686868687
5,instructor,9,0.30842108585858585
5,e5,10,0.3068088383838384
5,sroberta,11,0.3063675505050505
5,sbert,12,0.30574103535353536
5,fasttext_pretrained,13,0.29916527777777774
5,instructor,14,0.29350896464646464
5,w2v_pretrained,15,0.29302626262626263
5,glove_pretrained,16,0.2918703282828283
5,sroberta,17,0.29171969696969696
5,w2v_pretrained,18,0.28766325757575756
5,glove_pretrained,19,0.28751729797979797
5,w2v_pretrained,20,0.2853921717171717
5,e5,21,0.28315656565656566
5,glove_pretrained,22,0.2811025252525252
5,fasttext_pretrained,23,0.27611148989898987
5,fasttext_pretrained,24,0.27182209595959594
5,sbert,25,0.27160618686868687
5,w2v_self,26,0.2049638888888889
5,w2v_pretrained,27,0.19628928571428572
5,e5,28,0.1951352564102564
5,instructor,29,0.19499999999999998
5,w2v_pretrained,30,0.18103508771929827
5,w2v_self,31,0.1797246212121212
5,sbert,32,0.17808571428571426
5,w2v_self,33,0.1732175505050505
5,sroberta,34,0.1707982456140351
5,fasttext_pretrained,35,0.164155421686747
5,glove_pretrained,36,0.15236153846153846
5,mpnet,37,0.1510586776859504
5,sroberta,38,0.14630166666666666
5,e5,39,0.14091542553191488
5,mpnet,40,0.1349604221635884
5,glove_pretrained,41,0.12608095238095238
5,sbert,42,0.121425
5,fasttext_pretrained,43,0.10975
5,instructor,44,0.10663882783882785
5,w2v_self,45,0.10157549019607842
6,logistic_regression,1,0.692527950310559
6,mpnet,2,0.3071409090909091
6,sroberta,3,0.2887011904761905
6,mpnet,4,0.27845476190476187
6,instructor,5,0.27742792207792205
