embedding,clustering,k,mean,std
e5,dbscan,2,0.36677241379310344,0.182574884629669
e5,dbscan,3,0.2665823529411765,0.08402902626415445
e5,dbscan,4,0.22963764705882356,0.07535483201947621
e5,dbscan,5,0.1951352564102564,0.04765608759067364
e5,dbscan,6,0.17674132841328413,0.039833616787544324
e5,dbscan,7,0.1427631188118812,0.03515260176140977
e5,dbscan,8,0.09295238095238095,0.06529613864974933
e5,dbscan,9,0.13496,0.03409296216179399
e5,dbscan,10,0.03167659574468085,0.030161371874908197
e5,dbscan,11,0.078,
e5,dbscan,12,0.076,
e5,hac,2,0.6145075757575758,0.1780321382487366
e5,hac,3,0.4391454545454545,0.13700420593908025
e5,hac,4,0.33837636363636364,0.1393631998941105
e5,hac,5,0.28315656565656566,0.12556721736056178
e5,hac,6,0.2524774891774892,0.10808141925043545
e5,hac,7,0.22292007575757575,0.0930366195646614
e5,hac,8,0.19618161616161614,0.0817143348232203
e5,hac,9,0.17735863636363638,0.06731193091714203
e5,hac,10,0.1654090909090909,0.05486501961744274
e5,hac,11,0.164075,0.04549869378744445
e5,hac,12,0.1528,
e5,hdbscan,2,0.5178363636363637,0.15594028834991744
e5,hdbscan,3,0.2956612244897959,0.10263914298877105
e5,hdbscan,4,0.20082429906542054,0.09450100113388188
e5,hdbscan,5,0.14091542553191488,0.0545270705112106
e5,hdbscan,6,0.1335076923076923,0.04784928528791316
e5,hdbscan,7,0.13849,0.026764090785146348
e5,hdbscan,8,0.10010000000000001,0.02056866548903939
e5,hdbscan,11,0.0754,
e5,hdbscan,12,0.0657,
e5,kmeans,2,0.6159181818181818,0.2146441964017454
e5,kmeans,3,0.44221045454545455,0.16310861644249
e5,kmeans,4,0.35435232323232324,0.13847152278035313
e5,kmeans,5,0.3068088383838384,0.10463800291370733
e5,kmeans,6,0.26942012987012987,0.08892354870435597
e5,kmeans,7,0.23785189393939396,0.08201017695441785
e5,kmeans,8,0.20859555555555556,0.07346772143987629
e5,kmeans,9,0.18409090909090908,0.058033680262687806
e5,kmeans,10,0.17395454545454545,0.0496208212557783
e5,kmeans,11,0.15971666666666665,0.0328865220619836
e5,kmeans,12,0.1592,
e5,spectral,2,0.7023742424242424,0.2030446614838951
e5,spectral,3,0.5036518181818181,0.18709123002653946
e5,spectral,4,0.3818016161616162,0.15323999302717867
e5,spectral,5,0.3101502525252525,0.13307375263701304
e5,spectral,6,0.2613350649350649,0.11810139676374391
e5,spectral,7,0.21332739898989897,0.11452008394868143
e5,spectral,8,0.17873232323232321,0.10235700090006367
e5,spectral,9,0.15790363636363636,0.08743712253771499
e5,spectral,10,0.15340151515151515,0.05914601616709471
e5,spectral,11,0.14036666666666667,0.05035216585272778
e5,spectral,12,0.16,
fasttext_pretrained,dbscan,2,0.4502533333333333,0.16444799205496274
fasttext_pretrained,dbscan,3,0.28926944444444447,0.10773348654726936
fasttext_pretrained,dbscan,4,0.19337384615384615,0.10409837035966732
fasttext_pretrained,dbscan,5,0.10975,0.07697686029760241
fasttext_pretrained,dbscan,6,0.08723333333333334,0.0027201715632168004
fasttext_pretrained,hac,2,0.588619696969697,0.185597062493081
fasttext_pretrained,hac,3,0.4112172727272727,0.1306613038404835
fasttext_pretrained,hac,4,0.3354981818181818,0.10002124944639056
fasttext_pretrained,hac,5,0.27182209595959594,0.09847656425957417
fasttext_pretrained,hac,6,0.2421806277056277,0.08226710759220981
fasttext_pretrained,hac,7,0.2152391414141414,0.0718387420754199
fasttext_pretrained,hac,8,0.19422121212121213,0.05959596465010337
fasttext_pretrained,hac,9,0.17553909090909092,0.04836085457141492
fasttext_pretrained,hac,10,0.16028030303030302,0.04275079205634932
fasttext_pretrained,hac,11,0.151125,0.032164552057986275
fasttext_pretrained,hac,12,0.1193,
fasttext_pretrained,hdbscan,2,0.4481119047619048,0.159787766561226
fasttext_pretrained,hdbscan,3,0.2676777777777778,0.0762201589798961
fasttext_pretrained,hdbscan,4,0.18393684210526318,0.04086041443876159
fasttext_pretrained,hdbscan,5,0.164155421686747,0.02385425386726473
fasttext_pretrained,hdbscan,6,0.10309444444444443,0.019605085541383578
fasttext_pretrained,hdbscan,7,0.06398571428571428,0.02303652379530012
fasttext_pretrained,hdbscan,8,0.03666666666666667,0.008111925377697537
fasttext_pretrained,kmeans,2,0.5879227272727273,0.1750801555292314
fasttext_pretrained,kmeans,3,0.4297345454545455,0.13189020924357123
fasttext_pretrained,kmeans,4,0.33773050505050506,0.11412205917983084
fasttext_pretrained,kmeans,5,0.27611148989898987,0.10355100385215381
fasttext_pretrained,kmeans,6,0.24239902597402596,0.08000766315629172
fasttext_pretrained,kmeans,7,0.21695871212121212,0.06817508711411298
fasttext_pretrained,kmeans,8,0.19858949494949496,0.05771703776290827
fasttext_pretrained,kmeans,9,0.182635,0.04542428094187908
fasttext_pretrained,kmeans,10,0.17221666666666668,0.03494632184159602
fasttext_pretrained,kmeans,11,0.16325,0.0324904321580705
fasttext_pretrained,kmeans,12,0.1378,
fasttext_pretrained,spectral,2,0.6553015151515151,0.18931227884304264
fasttext_pretrained,spectral,3,0.46968590909090907,0.15244367664615704
fasttext_pretrained,spectral,4,0.3651822222222222,0.13614645159717204
fasttext_pretrained,spectral,5,0.29916527777777774,0.13156676123308636
fasttext_pretrained,spectral,6,0.24469502164502163,0.1263268557871431
fasttext_pretrained,spectral,7,0.19776275252525252,0.12070612782105072
fasttext_pretrained,spectral,8,0.16658242424242423,0.10513057542336571
fasttext_pretrained,spectral,9,0.14322181818181817,0.08521320066430658
fasttext_pretrained,spectral,10,0.1392348484848485,0.06217347565153548
fasttext_pretrained,spectral,11,0.1359,0.04441494424996246
fasttext_pretrained,spectral,12,0.1461,
glove_pretrained,dbscan,2,0.4284325,0.13283524861888513
glove_pretrained,dbscan,3,0.2802696202531646,0.059703320687680334
glove_pretrained,dbscan,4,0.1989609022556391,0.02700596969523162
glove_pretrained,dbscan,5,0.15236153846153846,0.026486729462257847
glove_pretrained,dbscan,6,0.15489036144578314,0.025901132918332542
glove_pretrained,dbscan,7,0.1358,0.030133017605278107
glove_pretrained,dbscan,8,0.09882444444444444,0.020312738452368837
glove_pretrained,dbscan,9,0.04530666666666667,0.034824476222107686
glove_pretrained,dbscan,10,0.008680555555555556,0.00033875355090975517
glove_pretrained,hac,2,0.6163363636363636,0.16494608595758578
glove_pretrained,hac,3,0.43829409090909094,0.13353170304593537
glove_pretrained,hac,4,0.3533052525252525,0.11984352218794216
glove_pretrained,hac,5,0.2918703282828283,0.10340003382292659
glove_pretrained,hac,6,0.2547515151515152,0.08925092937462822
glove_pretrained,hac,7,0.22537222222222222,0.07271094103889855
glove_pretrained,hac,8,0.20196141414141414,0.06265159676291993
glove_pretrained,hac,9,0.1795531818181818,0.05016984885488536
glove_pretrained,hac,10,0.15914090909090908,0.038040727070915936
glove_pretrained,hac,11,0.1419,0.02152584070789845
glove_pretrained,hac,12,0.1382,
glove_pretrained,hdbscan,2,0.46132999999999996,0.15100399077762558
glove_pretrained,hdbscan,3,0.2617478260869565,0.09921876137452862
glove_pretrained,hdbscan,4,0.18434761904761907,0.05824844701413637
glove_pretrained,hdbscan,5,0.12608095238095238,0.04425043072160563
glove_pretrained,hdbscan,6,0.09401333333333332,0.03543154096618005
glove_pretrained,kmeans,2,0.6011575757575758,0.1554765023657234
