k,unsupervised_method,gap
2,e5,0.23809999999999998
2,e5,0.2632
2,fasttext_pretrained,0.20439999999999992
2,fasttext_pretrained,0.15239999999999998
2,glove_pretrained,0.2728999999999999
2,glove_pretrained,0.2733
2,instructor,0.244
2,instructor,0.25359999999999994
2,mpnet,0.23639999999999994
2,mpnet,0.25159999999999993
2,sbert,0.25
2,sbert,0.2692
2,sroberta,0.25739999999999996
2,sroberta,0.25359999999999994
2,w2v_pretrained,0.19919999999999993
2,w2v_pretrained,0.18069999999999997
2,w2v_self,0.38469999999999993
2,w2v_self,0.36329999999999996
