k,method,rank,mean_f1
2,logistic_regression,1,0.8533
2,fasttext_pretrained,2,0.6964
2,fasttext_pretrained,3,0.6822
2,w2v_pretrained,4,0.675
2,glove_pretrained,5,0.6553
2,w2v_pretrained,6,0.6507
2,fasttext_pretrained,7,0.6408
2,w2v_pretrained,8,0.6269
2,e5,9,0.6241
2,e5,10,0.6214
2,mpnet,11,0.6208
2,sroberta,12,0.6188
2,mpnet,13,0.6169
2,instructor,14,0.6169
2,e5,15,0.6152
2,e5,16,0.615
2,glove_pretrained,17,0.6119
2,instructor,18,0.6093
2,sbert,19,0.6052
2,mpnet,20,0.6017
2,instructor,21,0.5998
2,instructor,22,0.5997
2,sroberta,23,0.5997
2,sroberta,24,0.5959
2,sroberta,25,0.5908
2,sbert,26,0.5901
2,e5,27,0.5901
2,sbert,28,0.5869
2,sbert,29,0.5861
2,glove_pretrained,30,0.5838
2,mpnet,31,0.5723
2,w2v_self,32,0.4916
2,w2v_self,33,0.4892
2,w2v_pretrained,34,0.4725
2,sbert,35,0.4369
2,fasttext_pretrained,36,0.4321
2,sroberta,37,0.3848
2,w2v_pretrained,38,0.3818
2,w2v_self,39,0.3788
