embedding,clustering,k,mean,std
e5,hac,2,0.6152,
e5,kmeans,2,0.5901,
fasttext_pretrained,hac,2,0.6489,
fasttext_pretrained,kmeans,2,0.7009,
glove_pretrained,hac,2,0.5804,
glove_pretrained,kmeans,2,0.58,
instructor,hac,2,0.6093,
instructor,kmeans,2,0.5997,
logistic_regression,supervised,2,0.8533,
mpnet,hac,2,0.6169,
mpnet,kmeans,2,0.6017,
sbert,hac,2,0.6033,
sbert,kmeans,2,0.5841,
sroberta,hac,2,0.5959,
sroberta,kmeans,2,0.5997,
w2v_pretrained,hac,2,0.6541,
w2v_pretrained,kmeans,2,0.6726,
w2v_self,hac,2,0.4686,
w2v_self,kmeans,2,0.49,
