k,class_subset,embedding,clustering,precision,recall,f1
2,"[0, 1]",logistic_regression,supervised,0.8649,0.867,0.8648
2,"[0, 2]",logistic_regression,supervised,0.8409,0.84,0.8391
2,"[0, 3]",logistic_regression,supervised,0.8132,0.8261,0.8172
2,"[0, 4]",logistic_regression,supervised,0.8793,0.8795,0.879
2,"[1, 2]",logistic_regression,supervised,0.8296,0.8232,0.825
2,"[1, 3]",logistic_regression,supervised,0.7747,0.7761,0.7732
2,"[1, 4]",logistic_regression,supervised,0.8692,0.868,0.8683
2,"[2, 3]",logistic_regression,supervised,0.6429,0.6426,0.6426
2,"[2, 4]",logistic_regression,supervised,0.8524,0.8515,0.8518
2,"[3, 4]",logistic_regression,supervised,0.7757,0.7862,0.7798
3,"[0, 1, 2]",logistic_regression,supervised,0.766,0.7613,0.7625
3,"[0, 1, 3]",logistic_regression,supervised,0.7256,0.7253,0.7222
3,"[0, 1, 4]",logistic_regression,supervised,0.8212,0.8192,0.8198
3,"[0, 2, 3]",logistic_regression,supervised,0.6411,0.6388,0.6392
3,"[0, 2, 4]",logistic_regression,supervised,0.7848,0.7845,0.7844
3,"[0, 3, 4]",logistic_regression,supervised,0.7388,0.7424,0.7397
3,"[1, 2, 3]",logistic_regression,supervised,0.6365,0.636,0.636
3,"[1, 2, 4]",logistic_regression,supervised,0.7734,0.7716,0.7722
3,"[1, 3, 4]",logistic_regression,supervised,0.7034,0.7041,0.7019
3,"[2, 3, 4]",logistic_regression,supervised,0.6523,0.6528,0.6516
4,"[0, 1, 2, 3]",logistic_regression,supervised,0.6307,0.626,0.6275
4,"[0, 1, 2, 4]",logistic_regression,supervised,0.7393,0.7362,0.7373
4,"[0, 1, 3, 4]",logistic_regression,supervised,0.701,0.7012,0.7001
4,"[0, 2, 3, 4]",logistic_regression,supervised,0.6315,0.6292,0.6287
4,"[1, 2, 3, 4]",logistic_regression,supervised,0.6186,0.6163,0.6167
5,"[0, 1, 2, 3, 4]",logistic_regression,supervised,0.6307,0.6274,0.6279
