k,class_subset,embedding,clustering,precision,recall,f1
2,"[0, 1]",w2v_self,kmeans,0.8594,0.8655,0.861
2,"[0, 1]",w2v_self,hac,0.8005,0.798,0.7803
2,"[0, 1]",w2v_self,spectral,0.88,0.841,0.8497
2,"[0, 1]",w2v_self,dbscan,0.62,0.5053,0.3801
2,"[0, 1]",w2v_self,hdbscan,0.7991,0.6433,0.62
2,"[0, 2]",w2v_self,kmeans,0.7985,0.7986,0.7982
2,"[0, 2]",w2v_self,hac,0.7981,0.7956,0.7938
2,"[0, 2]",w2v_self,spectral,0.8048,0.8015,0.7995
2,"[0, 2]",w2v_self,dbscan,0.5905,0.5018,0.346
2,"[0, 2]",w2v_self,hdbscan,0.7006,0.5417,0.4349
2,"[0, 3]",w2v_self,kmeans,0.7888,0.8061,0.7882
2,"[0, 3]",w2v_self,hac,0.7696,0.7653,0.7178
2,"[0, 3]",w2v_self,spectral,0.7953,0.8132,0.7913
2,"[0, 3]",w2v_self,dbscan,0.8108,0.5039,0.3911
2,"[0, 3]",w2v_self,hdbscan,0.3047,0.4784,0.3723
2,"[0, 4]",w2v_self,kmeans,0.8718,0.8764,0.8737
2,"[0, 4]",w2v_self,hac,0.832,0.8422,0.8328
2,"[0, 4]",w2v_self,spectral,0.8684,0.8762,0.871
2,"[0, 4]",w2v_self,hdbscan,0.7542,0.6876,0.6229
2,"[1, 2]",w2v_self,kmeans,0.781,0.7827,0.7817
2,"[1, 2]",w2v_self,hac,0.7691,0.7455,0.7487
2,"[1, 2]",w2v_self,spectral,0.8217,0.7666,0.7708
2,"[1, 2]",w2v_self,dbscan,0.4737,0.4947,0.3909
2,"[1, 2]",w2v_self,hdbscan,0.5385,0.5054,0.3433
2,"[1, 3]",w2v_self,kmeans,0.7786,0.7753,0.7648
2,"[1, 3]",w2v_self,hac,0.7692,0.7174,0.6829
2,"[1, 3]",w2v_self,spectral,0.7801,0.7489,0.7245
2,"[1, 3]",w2v_self,dbscan,0.7764,0.5039,0.3638
2,"[1, 3]",w2v_self,hdbscan,0.649,0.5158,0.3986
2,"[1, 4]",w2v_self,kmeans,0.8064,0.8341,0.8117
2,"[1, 4]",w2v_self,hac,0.7883,0.8172,0.79
2,"[1, 4]",w2v_self,spectral,0.8085,0.8363,0.814
2,"[1, 4]",w2v_self,dbscan,0.4938,0.4996,0.4057
2,"[1, 4]",w2v_self,hdbscan,0.6932,0.6511,0.5471
2,"[2, 3]",w2v_self,kmeans,0.5129,0.5133,0.5118
2,"[2, 3]",w2v_self,hac,0.5199,0.5208,0.5158
2,"[2, 3]",w2v_self,spectral,0.4965,0.4968,0.493
2,"[2, 3]",w2v_self,hdbscan,0.512,0.5006,0.3887
2,"[2, 4]",w2v_self,kmeans,0.8115,0.8227,0.8139
2,"[2, 4]",w2v_self,hac,0.7528,0.7529,0.7226
2,"[2, 4]",w2v_self,spectral,0.8033,0.8154,0.7968
2,"[2, 4]",w2v_self,hdbscan,0.6169,0.595,0.5926
2,"[3, 4]",w2v_self,kmeans,0.712,0.7363,0.719
2,"[3, 4]",w2v_self,hac,0.7263,0.7401,0.7319
2,"[3, 4]",w2v_self,spectral,0.6999,0.7364,0.6959
2,"[3, 4]",w2v_self,dbscan,0.7501,0.5219,0.4603
2,"[3, 4]",w2v_self,hdbscan,0.6692,0.6433,0.6512
3,"[0, 1, 2]",w2v_self,kmeans,0.725,0.7209,0.7226
3,"[0, 1, 2]",w2v_self,hac,0.7436,0.6825,0.6921
3,"[0, 1, 2]",w2v_self,spectral,0.7591,0.7037,0.7113
3,"[0, 1, 2]",w2v_self,hdbscan,0.6376,0.4142,0.334
3,"[0, 1, 3]",w2v_self,kmeans,0.7288,0.7162,0.7109
3,"[0, 1, 3]",w2v_self,hac,0.7558,0.6702,0.6492
3,"[0, 1, 3]",w2v_self,spectral,0.7434,0.702,0.6899
3,"[0, 1, 4]",w2v_self,kmeans,0.7869,0.7985,0.7912
3,"[0, 1, 4]",w2v_self,hac,0.7836,0.7511,0.7505
3,"[0, 1, 4]",w2v_self,spectral,0.8131,0.7725,0.7794
3,"[0, 1, 4]",w2v_self,hdbscan,0.759,0.507,0.4643
3,"[0, 2, 3]",w2v_self,kmeans,0.5937,0.5925,0.5915
3,"[0, 2, 3]",w2v_self,hac,0.5691,0.534,0.5121
3,"[0, 2, 3]",w2v_self,spectral,0.6007,0.5621,0.5405
3,"[0, 2, 3]",w2v_self,hdbscan,0.539,0.3656,0.2608
3,"[0, 2, 4]",w2v_self,kmeans,0.7391,0.7419,0.7392
3,"[0, 2, 4]",w2v_self,hac,0.7137,0.7015,0.7029
3,"[0, 2, 4]",w2v_self,spectral,0.7378,0.72,0.7123
3,"[0, 3, 4]",w2v_self,kmeans,0.702,0.7033,0.6969
3,"[0, 3, 4]",w2v_self,hac,0.7042,0.6774,0.6681
3,"[0, 3, 4]",w2v_self,spectral,0.6511,0.6094,0.5558
3,"[0, 3, 4]",w2v_self,hdbscan,0.489,0.3198,0.2977
3,"[1, 2, 3]",w2v_self,kmeans,0.5489,0.5355,0.5408
3,"[1, 2, 3]",w2v_self,hac,0.5774,0.5016,0.5089
3,"[1, 2, 3]",w2v_self,spectral,0.5597,0.5022,0.5134
3,"[1, 2, 3]",w2v_self,hdbscan,0.2454,0.331,0.1731
3,"[1, 2, 4]",w2v_self,kmeans,0.7117,0.7248,0.7151
3,"[1, 2, 4]",w2v_self,hac,0.6754,0.6806,0.6625
3,"[1, 2, 4]",w2v_self,spectral,0.763,0.719,0.72
3,"[1, 2, 4]",w2v_self,hdbscan,0.407,0.3506,0.288
3,"[1, 3, 4]",w2v_self,kmeans,0.6672,0.6737,0.6669
3,"[1, 3, 4]",w2v_self,hac,0.6912,0.6344,0.6266
3,"[1, 3, 4]",w2v_self,spectral,0.7023,0.6543,0.6423
3,"[1, 3, 4]",w2v_self,hdbscan,0.4563,0.3584,0.3239
3,"[2, 3, 4]",w2v_self,kmeans,0.5605,0.5568,0.5571
3,"[2, 3, 4]",w2v_self,hac,0.5372,0.5237,0.5214
3,"[2, 3, 4]",w2v_self,spectral,0.4939,0.4172,0.4054
3,"[2, 3, 4]",w2v_self,hdbscan,0.4511,0.4016,0.3594
4,"[0, 1, 2, 3]",w2v_self,kmeans,0.5669,0.5652,0.5656
4,"[0, 1, 2, 3]",w2v_self,hac,0.6001,0.5371,0.5477
4,"[0, 1, 2, 3]",w2v_self,spectral,0.6159,0.5461,0.5418
4,"[0, 1, 2, 4]",w2v_self,kmeans,0.6952,0.6948,0.6934
4,"[0, 1, 2, 4]",w2v_self,hac,0.6789,0.6304,0.6418
4,"[0, 1, 2, 4]",w2v_self,spectral,0.7242,0.6692,0.675
4,"[0, 1, 2, 4]",w2v_self,hdbscan,0.597,0.3753,0.3118
4,"[0, 1, 3, 4]",w2v_self,kmeans,0.6649,0.6578,0.6568
4,"[0, 1, 3, 4]",w2v_self,hac,0.5613,0.5485,0.5466
4,"[0, 1, 3, 4]",w2v_self,spectral,0.6889,0.6041,0.5953
4,"[0, 2, 3, 4]",w2v_self,kmeans,0.5418,0.5235,0.5283
4,"[0, 2, 3, 4]",w2v_self,hac,0.5588,0.4936,0.495
4,"[0, 2, 3, 4]",w2v_self,spectral,0.5075,0.4895,0.4886
4,"[0, 2, 3, 4]",w2v_self,hdbscan,0.4139,0.307,0.2071
4,"[1, 2, 3, 4]",w2v_self,kmeans,0.5523,0.5459,0.548
4,"[1, 2, 3, 4]",w2v_self,hac,0.4533,0.4762,0.4597
4,"[1, 2, 3, 4]",w2v_self,spectral,0.5536,0.444,0.458
5,"[0, 1, 2, 3, 4]",w2v_self,kmeans,0.5533,0.5397,0.5436
5,"[0, 1, 2, 3, 4]",w2v_self,hac,0.5149,0.5075,0.5088
5,"[0, 1, 2, 3, 4]",w2v_self,spectral,0.5108,0.4402,0.4612
2,"[0, 1]",w2v_pretrained,kmeans,0.8902,0.8945,0.8918
