k,class_subset,embedding,clustering,precision,recall,f1
2,"[0, 1]",w2v_self,kmeans,0.571,0.5601,0.4892
2,"[0, 1]",w2v_self,hac,0.7154,0.6176,0.4916
2,"[0, 1]",w2v_self,spectral,0.3122,0.4814,0.3788
2,"[0, 1]",w2v_pretrained,kmeans,0.6916,0.6693,0.675
2,"[0, 1]",w2v_pretrained,hac,0.6681,0.6248,0.6269
2,"[0, 1]",w2v_pretrained,spectral,0.684,0.6458,0.6507
2,"[0, 1]",w2v_pretrained,dbscan,0.3137,0.4876,0.3818
2,"[0, 1]",w2v_pretrained,hdbscan,0.6461,0.5326,0.4725
2,"[0, 1]",fasttext_pretrained,kmeans,0.7064,0.6914,0.6964
2,"[0, 1]",fasttext_pretrained,hac,0.6986,0.6762,0.6822
2,"[0, 1]",fasttext_pretrained,spectral,0.6811,0.6371,0.6408
2,"[0, 1]",fasttext_pretrained,hdbscan,0.6202,0.5148,0.4321
2,"[0, 1]",glove_pretrained,kmeans,0.6149,0.6189,0.5838
2,"[0, 1]",glove_pretrained,hac,0.7022,0.6502,0.6553
2,"[0, 1]",glove_pretrained,spectral,0.6332,0.641,0.6119
2,"[0, 1]",sbert,kmeans,0.6222,0.625,0.5861
2,"[0, 1]",sbert,hac,0.6279,0.6303,0.5901
2,"[0, 1]",sbert,spectral,0.635,0.6404,0.6052
2,"[0, 1]",sbert,dbscan,0.772,0.5225,0.4369
2,"[0, 1]",sbert,hdbscan,0.595,0.5856,0.5869
2,"[0, 1]",sroberta,kmeans,0.6343,0.6381,0.5997
2,"[0, 1]",sroberta,hac,0.6317,0.635,0.5959
2,"[0, 1]",sroberta,spectral,0.647,0.6535,0.6188
2,"[0, 1]",sroberta,dbscan,0.3152,0.4938,0.3848
2,"[0, 1]",sroberta,hdbscan,0.5908,0.5958,0.5908
2,"[0, 1]",mpnet,kmeans,0.6371,0.6407,0.6017
2,"[0, 1]",mpnet,hac,0.6457,0.652,0.6169
2,"[0, 1]",mpnet,spectral,0.6498,0.6562,0.6208
2,"[0, 1]",mpnet,hdbscan,0.5743,0.5715,0.5723
2,"[0, 1]",e5,kmeans,0.6279,0.6303,0.5901
2,"[0, 1]",e5,hac,0.6475,0.6527,0.6152
2,"[0, 1]",e5,spectral,0.6444,0.6504,0.615
2,"[0, 1]",e5,dbscan,0.6412,0.6499,0.6214
2,"[0, 1]",e5,hdbscan,0.6388,0.6485,0.6241
2,"[0, 1]",instructor,kmeans,0.6343,0.6381,0.5997
2,"[0, 1]",instructor,hac,0.6406,0.6458,0.6093
2,"[0, 1]",instructor,spectral,0.6457,0.652,0.6169
2,"[0, 1]",instructor,hdbscan,0.6007,0.6072,0.5998
